date,state,death,negative,positive,totalTestResults
2021-02-23,AK,290.0,,55560.0,1653425.0
2021-02-23,AL,9660.0,1882180.0,488973.0,2265086.0
2021-02-23,AR,5377.0,2359571.0,316593.0,2609837.0
2021-02-23,AS,0.0,2140.0,0.0,2140.0
2021-02-23,AZ,15650.0,2953210.0,810658.0,7478323.0
2021-02-23,CA,49563.0,,3450058.0,47513367.0
2021-02-23,CO,5907.0,2143029.0,422390.0,6043583.0
2021-02-23,CT,7572.0,,276691.0,6198707.0
2021-02-23,DC,998.0,,39844.0,1201605.0
2021-02-23,DE,1379.0,532673.0,85228.0,1363675.0
2021-02-23,FL,30749.0,9051605.0,1844228.0,21264199.0
2021-02-23,GA,16927.0,,990821.0,7076399.0
2021-02-23,GU,130.0,108733.0,7727.0,116460.0
2021-02-23,HI,431.0,,28000.0,1070170.0
2021-02-23,IA,5400.0,1025391.0,277821.0,1303212.0
2021-02-23,ID,1826.0,494773.0,169584.0,632561.0
2021-02-23,IL,22528.0,16544241.0,1177320.0,17721561.0
2021-02-23,IN,12450.0,2431692.0,657037.0,7815751.0
2021-02-23,KS,4643.0,951784.0,291715.0,1243499.0
2021-02-23,KY,4476.0,,399013.0,3857305.0
2021-02-23,LA,9503.0,5020119.0,426048.0,5446167.0
2021-02-23,MA,15883.0,4299958.0,571783.0,15662404.0
2021-02-23,MD,7762.0,2967660.0,377628.0,7689541.0
2021-02-23,ME,660.0,1538823.0,43736.0,1582559.0
2021-02-23,MI,16380.0,9479256.0,639712.0,10118968.0
2021-02-23,MN,6434.0,2967997.0,480091.0,6779613.0
2021-02-23,MO,7885.0,1840357.0,475791.0,4411010.0
2021-02-23,MP,2.0,17429.0,143.0,17572.0
2021-02-23,MS,6577.0,1436186.0,291222.0,1727408.0
2021-02-23,MT,1346.0,957177.0,99040.0,1056217.0
2021-02-23,NC,10965.0,9249147.0,846284.0,10095431.0
2021-02-23,ND,1468.0,303267.0,99416.0,1395829.0
2021-02-23,NE,2050.0,758267.0,199402.0,2323010.0
2021-02-23,NH,1155.0,571901.0,73923.0,1413885.0
2021-02-23,NJ,22978.0,9674485.0,772267.0,10446752.0
2021-02-23,NM,3644.0,2444482.0,183335.0,2627817.0
2021-02-23,NV,4903.0,1106648.0,291543.0,2678249.0
2021-02-23,NY,38031.0,,1591585.0,36760944.0
2021-02-23,OH,16968.0,,958153.0,9830863.0
2021-02-23,OK,4227.0,3009878.0,420212.0,3430090.0
2021-02-23,OR,2155.0,,153134.0,3498165.0
2021-02-23,PA,23711.0,3834470.0,917848.0,10150802.0
2021-02-23,PR,1986.0,305972.0,99476.0,405448.0
2021-02-23,RI,2476.0,660536.0,124262.0,2902822.0
2021-02-23,SC,8357.0,4342713.0,506912.0,4849625.0
2021-02-23,SD,1863.0,307241.0,111546.0,418787.0
2021-02-23,TN,11198.0,6049717.0,767315.0,6817032.0
2021-02-23,TX,41641.0,,2606275.0,19242281.0
2021-02-23,UT,1865.0,1517013.0,367789.0,2809360.0
2021-02-23,VA,7658.0,,567039.0,5778994.0
2021-02-23,VI,25.0,43897.0,2589.0,46486.0
2021-02-23,VT,199.0,312572.0,14691.0,1029049.0
2021-02-23,WA,4857.0,,334962.0,5120226.0
2021-02-23,WI,6910.0,2598601.0,613419.0,6709759.0
2021-02-23,WV,2274.0,2023482.0,130139.0,2153621.0
2021-02-23,WY,671.0,179431.0,53944.0,625036.0
2021-02-22,AK,290.0,,55507.0,1648785.0
2021-02-22,AL,9592.0,1877930.0,487520.0,2260261.0
2021-02-22,AR,5363.0,2355211.0,315759.0,2605058.0
2021-02-22,AS,0.0,2140.0,0.0,2140.0
2021-02-22,AZ,15502.0,2948102.0,809474.0,7458884.0
2021-02-22,CA,49338.0,,3446611.0,47320802.0
2021-02-22,CO,5893.0,2139035.0,421294.0,6026476.0
2021-02-22,CT,7562.0,,275334.0,6177475.0
2021-02-22,DC,995.0,,39755.0,1198762.0
2021-02-22,DE,1368.0,532452.0,85090.0,1359259.0
2021-02-22,FL,30595.0,9029719.0,1838745.0,21187430.0
2021-02-22,GA,16835.0,,987041.0,7057282.0
2021-02-22,GU,130.0,108141.0,7727.0,115868.0
2021-02-22,HI,431.0,,27953.0,1069386.0
2021-02-22,IA,5374.0,1024290.0,277580.0,1301870.0
2021-02-22,ID,1826.0,493294.0,169150.0,630724.0
2021-02-22,IL,22506.0,16484506.0,1175655.0,17660161.0
2021-02-22,IN,12407.0,2429196.0,656358.0,7794765.0
2021-02-22,KS,4643.0,951784.0,291715.0,1243499.0
2021-02-22,KY,4460.0,,397526.0,3851233.0
2021-02-22,LA,9477.0,4999299.0,424644.0,5423943.0
2021-02-22,MA,15853.0,4292030.0,570546.0,15599873.0
2021-02-22,MD,7732.0,2964696.0,376966.0,7677006.0
2021-02-22,ME,658.0,1533502.0,43594.0,1577096.0
2021-02-22,MI,16343.0,9454830.0,637928.0,10092758.0
2021-02-22,MN,6433.0,2965954.0,479591.0,6771188.0
